Strain,ID,Sativa,Indica,Hybrid,Flower,Edible,Liquid,Oil,Wax,Happy,Uplifted (raised spirits),Aroused,Energetic,Creative,Focused (productive),Relaxed (calm and relaxed),Sleepy,Talkative (social),Euphoric,Hungry,Tingly (stimulated),Giggly (good humor),Reduce Stress,Help Depression,Help With Pain,Reduce Fatigue,Help With Headaches,Relieve Muscle Spasms,Lower Eye Pressure,Help With Nausea,Reduce Inflammation,Relieve Cramps,Help With Seizures,Restore Appetite,Help With Insomnia,Anxiety,Dry Mouth,Paranoia,Headache,Dizziness,Dry Eyes,Groggy,Ammonia,Apple,Apricot,Berry,Blue Cheese,Blueberry,Buttery,Cheese,Chemical,Chestnut,Citrus,Coffee,Diesel,Earthy,Flowery,Grape,Grapefruit,Honey,Lavender,Lemon,Lime,Mango,Menthol,Minty,Nutty,Orange,Peach,Pear,Pepper,Pine,Pineapple,Plum,Pungent,Rose,Sage,Skunk,Spicy/Herbal,Strawberry,Sweet,Tar,Tea,Tobacco,Tree Fruit,Tropical,Vanilla,Violet,Woody,About,Origins
Biddy Early,561,,,X,X,,,,,4,,,5,5,,,,,4,,,4,,5,,4,,,,3,,,,3,3,2.3,,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,Warlock
Big Band,562,,,X,X,,,,,5,,,,,,5,4,,5,,3,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Bubble Gum,
Chronic"
Big Bang,563,,X,,X,,,,,5,,,,,,5,3,,4,3,,,3,,5,2,,,,,,,,4,3,,1.7,0.3,,,0.9,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,3,,,,,,,,,,"Skunk No. 1,
Northern Lights,
El Nino"
Big Buddha Cheese,564,,,X,X,,,,,5,4,,,4,,5,,,5,,,,5,4,4,,,,,,,,,3,4,,2.5,0.1,0.1,1.1,0.9,,,,,,,,,1,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Afghani,
UK Cheese"
Big Holy Nina,565,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Skunk Korean,566,,,X,X,,,,,,5,,5,4,,,,4,,4,,,,5,,4,,,,4,,,,5,,,3.1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,"Big Bud,
Skunk No. 1"
Big Sky OG,567,,,X,X,,,,,2,,,,1,,5,2,,3,,,,2,,1,,,2,,,,,,3,2,,,,,,,,,,,2,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Big Sur Holy Bud,568,X,,,X,,,,,5,5,,,1,,4,,,1,,,,5,4,1,,,4,,4,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,
Big White,569,,X,,X,,,,,,,,,,,3,5,,1,5,,,3,,4,,,,,2,,,,3,3,,2.8,1,1.5,,1.5,,,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The White,
Big Bud"
Biker Le'Blanc,570,,,X,X,,,,,,,3,4,3,,4,,,4,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"The White,
Hell's Angel OG"
Bio-Diesel,571,,,X,X,,,,,5,5,,3,,,4,,,4,,,,5,3,3,,,,,2,,,,2,,0.3,1,0.6,0.5,,0.7,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Sour Diesel,
Sensi Star,
NYC Diesel"
Bio-Jesus,572,,,X,X,,,,,3,,,,,,4,4,,3,,5,,3,,5,,,3,,,2,,,,3,,1.4,0.3,0.3,0.3,1,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Bio-Diesel,
Gumbo"
Birds Eye,573,X,,,X,,,,,5,3,,3,,,3,,,3,,,,2,5,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northern Lights #5,
Shiva Skunk,
Haze"
Birthday Cake Kush,574,,,X,X,,,,,5,3,,,,,5,2,,5,,,,5,3,3,,3,,,,,,,,2,0.9,1.2,,,,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,2,,,,"Girl Scout Cookies,
Cherry Pie"
Black '84,575,,X,,X,,,,,4,4,,,,,5,2,,1,,,,3,2,4,,,,,,,,,2,4,,1.2,,,,0.6,,,,,,,,,,,,,,,,,1,,,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,
Black Betty,576,,,X,X,,,,,5,5,,,3,,3,,,5,,,,5,5,4,1,,,,2,,,,,,,1,0.2,,0.5,1.3,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"East Coast Sour Diesel,
AK-47"
Black Bubba,577,,X,,X,,,,,,,,,,,5,3,,4,,3,,5,4,,,,,3,,,,,3,4,,0.8,1.4,,,,,,,,,,,,,,,2,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Bubba Kush,
Black Russian"
Black Cherry Cheesecake,578,,,X,X,,,,,4,3,,3,,,5,,,3,,,,4,,5,,3,,3,,,,,3,,,1.2,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Black Cherry Soda,
Super Silver Haze,
Cheese"
Black Cherry OG,579,,X,,X,,,,,5,,,,,2,5,3,,3,,,,3,3,5,2,,,,,,,,,3,0.2,2.4,,0.1,0.2,0.3,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,,,,,
Black Cherry Soda,580,,,X,X,,,,,5,4,,,3,,5,,,4,,,,5,4,3,,2,,,,,,,,2,0.1,1.8,,0.2,0.1,0.8,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Black Dahlia,581,,,X,X,,,,,5,,,,,4,2,1,,1,,,,,4,3,2,,,,,3,,,,3,1.3,1.2,,1.4,1.4,0.4,,,,,1,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Black Cherry Soda,
Querkle"
Black Diamond,582,,X,,X,,,,,3,,,,,,5,3,,3,3,,,5,3,4,,,,,,,,,3,4,0.5,1.2,0.5,,1.3,0.5,,,,,2,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Blackberry,
Diamond OG"
Black Diesel,583,X,,,X,,,,,5,5,,4,,,4,,,4,,,,5,5,3,,4,2,,,,,,,,,1.2,0.3,0.5,0.4,0.7,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,NYC Diesel
Black Domina,584,,X,,X,,,,,3,,,,,,5,4,,2,3,,,5,,4,,,2,,,,,,2,4,0.6,2.8,0.9,,1.5,1.8,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Afghani,
Northern Lights,
Hash Plant,
Ortega"
Black Ice,585,,X,,X,,,,,,,,,,,5,4,,,4,,,3,,5,,2,2,,,,,,,5,,2,,,0.8,2,,,,,3,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Black Domina,
White Widow"
Black Jack,586,,,X,X,,,,,4,3,,,2,,5,,,3,,,,4,4,5,,3,,,,2,,,,,0.1,2.8,0.1,,0.3,1.5,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,1,,,,,,,,,,"Black Domina,
Jack Herer"
Black Label Kush,587,,X,,X,,,,,,,4,,4,4,,,,5,,,,,,2,,,4,,,4,,,4,5,,3,0.1,,0.3,2.5,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,3,,,,,,,,,,,,,,
Black Lime Special Reserve,588,,X,,X,,,,,4,3,,,3,,5,,,5,,,,5,2,2,5,3,,,,,,,,,,1,,,,1.9,,,,,,,,,,,,3,,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Northern Lights,
Purple Kush"
Black Mamba,589,,X,,X,,,,,3,,,,,,5,3,,3,3,,,4,3,3,,3,,,,,,,,4,0.2,1,,0.6,0.2,0.9,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,2,,"Granddaddy Purple,
Black Domina"
Black Russian,590,,X,,X,,,,,,2,,,,,5,4,,3,2,,,5,3,3,,4,,,,,,,,4,,2.6,0.2,,,2.1,,,,,2,,,,,,,1,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Black Tuna,591,,,X,X,,,,,4,3,,,,,5,3,,3,,,,5,3,5,,,2,,,,,,,3,0.1,2.2,,,1.5,2.3,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,"Herijuana,
Lamb's Bread"
Black Velvet,592,,,X,X,,,,,4,,,,,,5,3,,,3,,4,,2,3,,,,2,5,,,,4,,,1,,,,2,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,"Burmese Kush,
The Black"
Black Widow,593,,,X,X,,,,,4,2,,,3,,5,,,3,,,,4,,4,3,,2,,3,,,,,,0.7,2.3,0.8,,0.4,1.8,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,,"South American Sativa,
South Indian Sativa"
Blackberry,594,,,X,X,,,,,4,3,,,,,5,2,,4,,,,5,3,5,,,2,,,,,,,3,,2.2,0.6,1,0.7,1.2,,,,,1,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Black Domina,
Raspberry Cough"
Blackberry Bubble,595,,X,,X,,,,,3,,,3,,,5,3,,5,,,,,2,,,2,3,2,,,,,,4,,,,,,2.1,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Sour Bubble,
Blackberry Kush"
Blackberry Cream,596,,X,,X,,,,,5,,,3,,,,,,,,,5,,,,,,,,,,,,,,,1.5,,,,1.5,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blackberry Kush,
Cookies and Cream"
Blackberry Diesel,597,X,,,X,,,,,4,5,,3,,,5,,,4,,,,4,1,3,,5,,3,,,,,,,3,1.5,,3,,,,,,,1,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"East Coast Sour Diesel,
Plushberry"
Blackberry Hashplant,598,,X,,X,,,,,,,,1,,,3,5,,2,4,,,1,,3,3,,,,,,,2,,2,,1.5,0.1,0.4,0.5,1,,,,,1,,,,,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,"Blackberry Kush,
Hashplant Haze"
Blackberry Kush,599,,X,,X,,,,,4,,,,,,5,4,,3,3,,,5,3,4,,2,,,,,,,,4,,1.9,0.1,0.2,0.5,1,,,,,1,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Afghani,
Blackberry"
Blackberry Pie,600,,,X,X,,,,,,,,2,3,,3,,,5,3,,,,,2,,,,,2,,3,,,,,,,,,,,,,,2,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blackberry Rhino,601,,X,,X,,,,,4,4,,,,,5,,,3,,3,,4,2,4,,,3,,,,,,,2,,0.8,,,,0.4,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,2,,,,,,,,,,"Blackberry,
White Rhino"
Blackberry Trainwreck,602,,,X,X,,,,,3,4,,,3,,5,,,4,,,,4,2,4,,,,,3,,,,,3,,,,,3,,,,,,,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,"Blackberry Kush,
Trainwreck"
Blackberry x Blueberry,603,,X,,X,,,,,3,,,,,,5,2,,3,,,,4,3,4,,,,1,,,,,2,,,2,,,,,,,,,1,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blackberry,
DJ Short Blueberry"
Blackwater,604,,X,,X,,,,,3,,,,,,5,4,,3,2,,,5,3,5,,,,,,,,,2,4,,1.3,0.4,0.4,0.6,0.6,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,2,,,,,,,,,3,,,,,,,,,,"Mendocino Purps,
SFV OG Kush"
Blaze,605,X,,,X,,,,,,,3,3,3,3,,,,3,,,,3,,3,,,,,4,,,,,,,,,,,,,,,,1,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blueberry,
Haze"
Blissful Wizard,606,,,X,X,,,,,5,5,,,3,,3,,,5,,,,5,5,4,4,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,1,3,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,Girl Scout Cookies
Blob OG,607,,,X,X,,,,,2,,,,,,5,,,3,,,,4,5,3,,,,,,3,,,,,,2,,2,,2,,,,,,,,,,,,2,,,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Chem Scout,608,,X,,X,,,,,5,3,,,3,,5,,,4,,,,5,3,3,3,,,,,3,,,,,,,,,,1.7,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,3,,2,,,,,,,,,,"Chemdawg 91,
Girl Scout Cookies"
Bloo's Kloos,609,,X,,X,,,,,,3,,3,4,2,3,,,,,,,,,2,,,2,2,,2,2,,,,,,,,,,,,,,1,,2,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Larry OG,
Blueberry,
Northern Lights"
Bloodhound,610,,,X,X,,,,,,,,,,,5,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Blowfish,611,,,X,X,,,,,3,4,,,3,,5,,,3,,,,3,,5,,,2,,2,,,,,3,,2.6,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1,,3,,,,,,,,,,,,"G13,
Blue Dot"
Blucifer,612,X,,,X,,,,,5,4,,3,,3,3,,,,,,,3,3,,,3,,,3,,,,3,,,,,,,2.2,,,,,2,,1,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,"Conspiracy Kush,
Blue Dream"
Blue Afghani,613,,X,,X,,,,,3,,,,,,5,3,,4,,3,,5,3,3,,,,,,,,3,,3,,3,,,,1.5,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blueberry,
Afghani"
Blue Alien,614,,X,,X,,,,,3,4,,,,,5,3,,5,,,,5,3,5,,,2,,,,,,,4,,0.7,0.5,,,0.7,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blueberry,
Alien Kush"
Blue Bastard,615,,X,,X,,,,,4,,,3,,,3,4,,4,,,,4,2,2,,,1,,,,,,,3,,1.8,0.5,0.5,0.7,1.5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,"DJ Short Blueberry,
God Bud"
Blue Bayou,616,X,,,X,,,,,3,3,,,4,,,,,,1,,3,3,1,,,,,,3,,,,,,,0.5,0.8,0.9,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Blood,617,,X,,X,,,,,3,,,1,,,5,2,,,,,,4,1,4,,,,,,1,,,3,,,1.5,,,,,,,,,,,1,,,,,3,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"OG Kush,
Blueberry"
Blue Boy,618,,,X,X,,,,,,,,,5,5,,,,,,3,,3,1,1,1,,,,,,,,,1,1,1,1,0.8,,0.6,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,"Blue Dream,
Northern Lights #5"
Blue Champaigne,619,,,X,X,,,,,5,5,,3,4,,,,,5,,,,3,4,2,1,,,,2,,,,,,3,1,3.2,,0.1,0.7,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blue Dream,
Champagne Kush"
Blue Cheese,620,,X,,X,,,,,4,3,,,,,5,3,,3,,,,5,3,4,,,,,,,,,3,3,,1.5,0.5,0.4,0.6,0.9,,,,,,1,3,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blueberry,
UK Cheese"
Blue Cinex,621,,,X,X,,,,,5,4,,,,5,4,,,,,,,,5,,4,,,,3,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blue Dream,
Cinex"
Blue Cookies,622,,,X,X,,,,,4,3,,,,,5,3,,3,,,,5,5,5,,,,,,,,,3,4,1,1.8,0.9,,,0.8,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Girl Scout Cookies,
Blueberry"
Blue Crack,623,,,X,X,,,,,,4,,,,5,5,,,5,,,,5,3,3,2,,,,2,,,,,,0.5,1.3,0.8,,0.9,1,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blue Dream,
Green Crack"
Blue Diamond,624,,X,,X,,,,,5,4,,,,,5,,,3,,,3,4,,3,4,,4,4,,,,,,,0.6,0.6,0.6,0.2,,0.7,,,,,3,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Blue Diesel,625,,,X,X,,,,,5,4,,,2,,5,,,4,,,,5,4,4,3,,,,3,,,,,,0.3,1.2,,0.3,0.5,0.8,,,,,3,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blueberry,
NYC Diesel"
Blue Dot,626,X,,,X,,,,,5,5,,5,,,3,,,4,,,,4,3,1,2,,,,1,,,,,,,0.5,,1,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,"Northern Lights,
Haze"
Blue Dragon,627,,,X,X,,,,,5,4,,,,,5,,,4,3,,,5,4,2,,,2,,,2,,,,,,1.5,0.5,0.1,0.2,0.7,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blueberry,
Sour Diesel"
Blue Dynamite,628,,X,,X,,,,,4,,,,,,5,,4,,3,,3,5,,4,,3,,2,,2,,,,,,0.7,0.4,,0.7,0.8,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Dynamite,
Avalon"
Blue Frost,629,,,X,X,,,,,5,5,,,,,5,,,4,,4,,4,5,5,3,,,,,,,,,2,,2.5,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,3,,,1,,,,,,,,,,,,,,,,"Jack Frost,
Blue Monster"
Blue Galaxy,630,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Afghani,
Hashplant Haze"
Blue God,631,,X,,X,,,,,3,,,,,,5,5,,3,,3,,3,3,3,,,2,,,,,,,5,,1,0.1,,0.4,0.8,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Blueberry,
God Bud"
Blue Goo,632,,,X,X,,,,,5,5,,3,,,4,,4,,,,,5,4,,2,,2,,4,,,,,,,1.9,0.2,0.3,0.2,1.2,,,,,1,,2,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Hash,633,,,X,X,,,,,5,,,,,,5,4,,3,3,,,4,5,,,,3,,,,,,3,5,,3.1,0.3,0.1,0.4,0.8,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Blueberry,
Hash Plant"
Blue Hawaiian,634,,,X,X,,,,,5,4,,,,,4,,3,3,,,,5,5,2,3,3,,,,,,,,,,0.9,0.4,0.4,0.3,0.9,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,,,,,"Blueberry,
Hawaiian Sativa"
Blue Heron,635,,,X,X,,,,,3,,,,,,4,4,3,5,,,,3,,5,,5,,,,,3,,,3,,,,,,,,,,,2,,3,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blue Magoo,
Huckleberry"
Blue Ivy,636,,,X,X,,,,,2,,,1,,,5,1,,1,,,,3,3,,,1,,,,,,,1,2,3.7,4,0.1,,0.1,0.5,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,
Blue Kiss,637,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Dream
Blue Knight,638,,X,,X,,,,,3,3,,,,,5,3,,3,,,,5,4,5,,3,,,,,,,,4,,2.5,,,,2,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blueberry,
Kryptonite"
Blue Kripple,639,,X,,X,,,,,,,,,,,4,4,,4,4,,,,,3,,,3,,,,,,,,,3,3,2.5,3,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blue Rhino,
Big Bud,
Medicine Man"
Blue Kush,640,,,X,X,,,,,5,5,,,4,,4,,,5,,,,5,4,2,,,,,,,,,5,3,,1.6,1.6,,1.6,0.2,,,,,2,,1,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blueberry,
OG Kush"
Blue Lights,641,,X,,X,,,,,5,4,,3,,,5,,,4,,,,5,4,3,1,,,,3,,,,,,,3.8,0.1,0.1,2.8,0.9,,,,,,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,"Blueberry,
Northern Lights"
Blue Magic,642,X,,,X,,,,,3,5,,5,,,3,,,5,,,,,1,,3,,1,1,,,,,2,,,0.6,0.6,0.9,,,,3,,,,,,,,,,1,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Dream
Blue Magoo,643,,,X,X,,,,,3,4,,3,,,5,,,4,,,,5,5,5,,,,,3,3,,,,,0.1,1.8,,,0.4,1,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,
Blue Monster,644,,X,,X,,,,,5,,,,3,,5,3,,3,,,,3,1,3,,,,,,,,,,2,,0.7,,0.7,,,,,,,1,,2,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"G13,
Blueberry,
Northern Lights #5,
Mexican"
Blue Moon Rocks,645,,,X,X,,,,,5,4,,,,,5,4,,5,,,,4,3,3,2,,,,,,,,2,,0.4,1.8,0.4,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,BOG Bubble
Blue Moonshine,646,,X,,X,,,,,5,3,,,,,5,,,3,,,,5,3,3,,3,,,,3,,,,,0.2,0.9,,0.3,0.5,1,,,,,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Thai,
Afghani"
Blue Mountain Fire,647,X,,,X,,,,,3,,,,3,,,,,3,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamaican
Chem Valley Kush,648,,,X,X,,,,,4,4,,3,,,,,,4,,,,4,2,2,,,,,3,,,,4,,,1.5,0.4,,0.7,0.4,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,2,,"Chemdawg,
SFV OG Kush"
Blue Nightmare,649,,,X,X,,,,,4,2,,,3,,3,,,,,,2,,2,1,,2,,,2,,,,1,,,0.5,0.7,,,,,,,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,"Blue Dream,
Tahoe OG Kush"
Blue Nina,650,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Blue Dream
Blue OG,651,,,X,X,,,,,5,5,,,3,,5,3,,,,,,4,5,4,,,3,,,,,,,2,0.1,2.6,,0.1,0.4,0.6,,,,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blueberry,
Blue Moonshine,
OG Kush"
Blue Persuasion,652,,,X,X,,,,,5,,,,,4,,,4,5,,5,,,,,,,,,,,,,,,,,,,,,,,,,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,"Blueberry,
Northern Lights,
White Widow"
Blue Power,653,,X,,X,,,,,4,,,,3,3,5,,,5,,,,4,2,5,,,,,,,,,3,4,,1,,0.5,,0.5,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Master Kush,
The White,
Blue Moonshine"
Blue Rhino,654,,,X,X,,,,,4,,,,,,5,4,,3,,,,5,3,5,,,3,,,,,,,4,0.1,2.9,,0.1,0.1,2.6,,,,,2,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Blueberry,
White Rhino"
Blue Satellite,655,X,,,X,,,,,5,4,,,,3,,,4,4,,,,5,5,3,,,3,,,,,,3,,,1.5,1,0.3,0.6,1,,,,,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,Shishkaberry
Blue Sky,656,,,X,X,,,,,4,,,,5,,5,,,4,,,3,,5,5,,,,4,5,4,,,,,,0.7,,,,,,,,,,,3,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"LSD,
Rocky Mountain Blueberry"
Blue Trainwreck,657,,,X,X,,,,,5,5,,4,,4,5,,,,,,,5,5,2,,4,,,,,,,,1,,1.6,,,0.5,1.5,,,,,,,2,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,"Trainwreck,
Blueberry"
Blue Trane,658,,,X,X,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue Treat,659,,,X,X,,,,,5,4,1,,,,3,,,,,4,,5,1,3,,,,,,,,1,,1,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,"Blueberry,
Dutch Treat"
Blue Velvet,660,,,X,X,,,,,,,,,,,3,5,,3,,5,,3,1,,3,,,,3,,,,3,,0.7,,,,,,,,,,1,,2,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Purple Thai,
Afghani"
